,AGE
0,25
1,45
2,52
3,52
4,54
5,46
6,37
7,51
8,55
9,39
10,27
11,55
12,36
13,38
14,39
15,23
16,35
17,26
18,48
19,31
20,50
21,40
22,30
23,68
24,30
25,52
26,51
27,43
28,27
29,28
30,41
31,30
32,35
33,32
34,43
35,33
36,47
37,57
38,65
39,44
40,47
41,46
42,36
43,64
44,26
45,21
46,55
47,55
48,54
49,50
50,33
51,51
52,33
53,28
54,50
55,35
56,59
57,49
58,38
59,56
60,55
61,21
62,62
63,33
64,37
65,33
66,53
67,42
68,32
69,29
70,32
71,42
72,40
73,30
74,39
75,48
76,53
77,26
78,50
79,62
80,51
81,67
82,48
83,47
84,63
85,43
86,49
87,39
88,57
89,50
90,54
91,35
92,29
93,28
94,27
95,41
96,29
97,42
98,40
99,61
100,30
101,26
102,46
103,30
104,64
105,65
106,59
107,35
108,58
109,25
110,28
111,37
112,64
113,25
114,27
115,54
116,43
117,55
118,39
119,36
120,25
121,36
122,62
123,45
124,44
125,62
126,44
127,44
128,25
129,45
130,44
131,50
132,33
133,32
134,39
135,44
136,33
137,40
138,45
139,44
140,57
141,54
142,44
143,60
144,39
145,41
146,31
147,39
148,44
149,48
150,39
151,52
152,31
153,42
154,48
155,37
156,67
157,55
158,59
159,41
160,46
161,38
162,59
163,21
164,48
165,35
166,29
167,31
168,32
169,35
170,57
171,46
172,33
173,62
174,68
175,53
176,50
177,32
178,45
179,34
180,41
181,45
182,38
183,38
184,27
185,59
186,54
187,37
188,36
189,30
190,40
191,64
192,38
193,38
194,37
195,27
196,38
197,49
198,52
199,48
200,50
201,45
202,43
203,63
204,37
205,35
206,55
207,32
208,57
209,26
210,46
211,35
212,54
213,61
214,41
215,30
216,53
217,48
218,59
219,42
220,63
221,44
222,56
223,27
224,41
225,37
226,64
227,63
228,22
229,51
230,37
231,28
232,30
233,58
234,25
235,63
236,42
237,64
238,33
239,59
240,65
241,49
242,25
243,34
244,39
245,29
246,48
247,68
248,27
249,40
250,40
251,32
252,58
253,39
254,57
255,31
256,47
257,28
258,44
259,52
260,33
261,22
262,24
263,65
264,62
265,24
266,45
267,39
268,44
269,40
270,61
271,29
272,27
273,41
274,46
275,26
276,31
277,32
278,37
279,52
280,49
281,28
282,55
283,60
284,55
285,43
286,54
287,64
288,28
289,51
290,64
291,38
292,25
293,58
294,59
295,35
296,55
297,23
298,29
299,30
300,57
301,48
302,58
303,28
304,63
305,62
306,61
307,49
308,25
309,25
310,57
311,25
312,40
313,53
314,46
315,47
316,40
317,47
318,55
319,32
320,30
321,52
322,63
323,40
324,60
325,41
326,41
327,59
328,51
329,39
330,41
331,52
332,41
333,30
334,37
335,36
336,51
337,38
338,32
339,50
340,33
341,41
342,64
343,45
344,37
345,62
346,54
347,63
348,55
349,54
350,29
351,23
352,57
353,31
354,43
355,28
356,39
357,53
358,30
359,62
360,33
361,37
362,44
363,36
364,55
365,39
366,52
367,44
368,50
369,35
370,36
371,54
372,42
373,23
374,53
375,28
376,43
377,48
378,45
379,53
380,58
381,22
382,65
383,55
384,51
385,63
386,32
387,46
388,53
389,51
390,33
391,37
392,31
393,33
394,24
395,56
396,43
397,26
398,43
399,44
400,39
401,26
402,43
403,49
404,50
405,28
406,42
407,41
408,38
409,44
410,63
411,55
412,50
413,37
414,32
415,26
416,27
417,48
418,50
419,31
420,65
421,45
422,41
423,54
424,26
425,32
426,34
427,51
428,36
429,51
430,24
431,45
432,36
433,50
434,37
435,44
436,61
437,50
438,47
439,40
440,21
441,50
442,60
443,31
444,50
445,41
446,48
447,56
448,62
449,52
450,55
451,56
452,29
453,50
454,29
455,41
456,36
457,25
458,40
459,24
460,49
461,33
462,50
463,42
464,38
465,56
466,39
467,31
468,44
469,40
470,25
471,29
472,44
473,55
474,37
475,52
476,64
477,27
478,45
479,37
480,32
481,33
482,62
483,29
484,53
485,56
486,57
487,33
488,41
489,44
490,57
491,49
492,22
493,36
494,27
495,52
496,36
497,50
498,61
499,35
500,63
501,30
502,43
503,52
504,53
505,62
506,45
507,52
508,33
509,61
510,49
511,32
512,27
513,43
514,37
515,39
516,42
517,47
518,51
519,36
520,44
521,40
522,37
523,54
524,23
