SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100209,1,Revolving loans,M,N,Y,3,180000.0,540000.0,27000.0,540000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.02461,-15326,-1038,-782.0,-792,,1,1,0,1,0,0,High skill tech staff,5.0,2,2,THURSDAY,18,0,0,0,0,0,0,Construction,,0.3721102589242765,0.5064842396679806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-429.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
100282,1,Revolving loans,F,Y,Y,0,73341.0,135000.0,6750.0,135000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.018801,-9157,-146,-2926.0,-1822,11.0,1,1,0,1,0,0,Managers,1.0,2,2,THURSDAY,11,0,0,0,0,0,0,Insurance,,0.5232303868528839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1.0,1.0,1.0,1.0,-64.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,
100485,1,Revolving loans,M,Y,N,1,270000.0,810000.0,40500.0,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,-11353,-651,-2513.0,-3962,8.0,1,1,1,1,1,0,Security staff,3.0,2,2,TUESDAY,9,0,0,0,0,0,0,Security,,0.33598122880493936,0.5779691187553125,0.1918,0.1417,0.995,,,0.08,0.069,0.375,,,,0.2408,,0.0,0.1954,0.1471,0.995,,,0.0806,0.069,0.375,,,,0.2509,,0.0,0.1936,0.1417,0.995,,,0.08,0.069,0.375,,,,0.2452,,0.0,,block of flats,0.1894,"Stone, brick",No,0.0,0.0,0.0,0.0,-443.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
100567,1,Revolving loans,M,Y,Y,0,99000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663,-8063,-261,-738.0,-735,10.0,1,1,0,1,0,0,Sales staff,2.0,2,2,MONDAY,12,0,0,0,0,0,0,Self-employed,0.1293264003461732,0.2916600497102669,0.2176285202779586,0.0289,0.0328,0.9727,0.626,0.0056,0.0,0.1724,0.0833,0.125,0.0184,0.0235,0.0313,0.0,0.0,0.0294,0.0341,0.9727,0.6406,0.0056,0.0,0.1724,0.0833,0.125,0.0189,0.0257,0.0326,0.0,0.0,0.0291,0.0328,0.9727,0.631,0.0056,0.0,0.1724,0.0833,0.125,0.0188,0.0239,0.0319,0.0,0.0,reg oper account,block of flats,0.0246,Block,No,1.0,0.0,1.0,0.0,-390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0
101165,1,Revolving loans,F,N,Y,0,157500.0,225000.0,11250.0,225000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-19862,365243,-6287.0,-1768,,1,0,0,1,1,0,,1.0,2,2,SATURDAY,12,0,0,0,0,0,0,XNA,0.7916633304321739,0.5894300837768358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101330,1,Revolving loans,M,Y,Y,0,270000.0,180000.0,9000.0,180000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,With parents,0.006629,-15061,-1873,-2614.0,-1789,17.0,1,1,1,1,1,0,Drivers,1.0,2,2,SATURDAY,7,0,0,0,0,0,0,Self-employed,,0.6723223355137833,0.7366226976503176,0.0186,,0.9906,1.0,0.0,0.0,0.0572,0.0275,0.0417,0.0,0.0151,0.0109,0.0,0.0122,0.0168,,1.0,1.0,0.0,0.0,0.069,0.0417,0.0417,0.0,0.0147,0.0071,0.0,0.0112,0.0187,,0.993,1.0,0.0,0.0,0.069,0.0417,0.0417,0.0,0.0154,0.012,0.0,0.0117,not specified,block of flats,0.0085,Wooden,No,2.0,0.0,2.0,0.0,-591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
101575,1,Revolving loans,M,N,N,0,112500.0,337500.0,16875.0,337500.0,Unaccompanied,Pensioner,Lower secondary,Married,Municipal apartment,0.018801,-21740,365243,-4521.0,-4527,,1,0,0,1,0,0,,2.0,2,2,MONDAY,6,0,0,0,0,0,0,XNA,,0.017899324661605726,0.5867400085415683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,2.0
101705,1,Revolving loans,M,N,Y,0,675000.0,270000.0,13500.0,270000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.008625,-17188,-3203,-5678.0,-728,,1,1,0,1,0,0,Managers,2.0,2,2,THURSDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.27324573373614125,0.23272477626794336,0.2113,,0.9786,,,0.16,0.1379,0.3333,,,,0.2229,,0.1369,0.2153,,0.9786,,,0.1611,0.1379,0.3333,,,,0.2323,,0.1449,0.2134,,0.9786,,,0.16,0.1379,0.3333,,,,0.2269,,0.1398,,block of flats,0.1753,"Stone, brick",No,0.0,0.0,0.0,0.0,-683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
101929,1,Revolving loans,F,Y,Y,0,697500.0,450000.0,22500.0,450000.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.04622,-23299,-2550,-2591.0,-103,7.0,1,1,0,1,0,0,Medicine staff,2.0,1,1,WEDNESDAY,17,0,0,0,0,0,0,Medicine,,0.6967367972079678,,0.1237,0.0732,0.9896,,,0.12,0.1034,0.3333,0.375,,0.1009,0.0779,0.0,,0.1261,0.076,0.9896,,,0.1208,0.1034,0.3333,0.375,,0.1102,0.0811,0.0,,0.1249,0.0732,0.9896,,,0.12,0.1034,0.3333,0.375,,0.1026,0.0793,0.0,,reg oper account,block of flats,0.1022,Panel,No,3.0,0.0,3.0,0.0,-628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0
102128,1,Revolving loans,M,N,Y,0,90000.0,202500.0,10125.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-9830,-337,-4688.0,-2446,,1,1,0,0,0,0,Laborers,2.0,2,2,SUNDAY,11,0,0,0,0,0,0,Business Entity Type 1,,0.5479355521681231,0.0005272652387098817,0.0165,,0.9747,,,,0.069,0.0417,,,,,,,0.0168,,0.9747,,,,0.069,0.0417,,,,,,,0.0167,,0.9747,,,,0.069,0.0417,,,,,,,,block of flats,0.0099,"Stone, brick",No,0.0,0.0,0.0,0.0,-527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
