SK_ID_CURR,TARGET
100001,0.36
100005,0.35
100013,0.22
100028,0.22
100038,0.31
100042,0.32
100057,0.24
100065,0.35
100066,0.33
100067,0.39
100074,0.37
100090,0.37
100091,0.36
100092,0.29
100106,0.26
100107,0.33
100109,0.38
100117,0.3
100128,0.36
100141,0.33
100150,0.27
100168,0.34
100169,0.26
100170,0.32
100171,0.23
100172,0.31
100184,0.44
100187,0.33
100212,0.35
100222,0.38
100223,0.31
100232,0.31
100241,0.32
100245,0.32
100253,0.24
100256,0.27
100271,0.22
100278,0.34
100280,0.25
100306,0.38
100311,0.36
100312,0.34
100330,0.3
100331,0.33
100352,0.37
100358,0.3
100367,0.28
100382,0.38
100384,0.34
100385,0.34
100386,0.35
100399,0.32
100404,0.35
100416,0.26
100422,0.35
100426,0.31
100438,0.29
100444,0.46
100445,0.33
100446,0.35
100447,0.32
100450,0.31
100466,0.3
100483,0.29
100484,0.28
100494,0.3
100510,0.34
100512,0.32
100517,0.22
100548,0.27
100551,0.3
100552,0.36
100553,0.3
100561,0.33
100568,0.32
100569,0.34
100591,0.28
100592,0.26
100602,0.31
100607,0.32
100613,0.35
100617,0.36
100618,0.44
100622,0.44
100625,0.3
100677,0.27
100699,0.24
100702,0.42
100711,0.39
100729,0.36
100740,0.37
100744,0.3
100745,0.31
100747,0.25
100751,0.32
100752,0.28
100753,0.43
100754,0.37
100760,0.26
100762,0.26
100763,0.31
100765,0.24
100770,0.37
100772,0.28
100777,0.35
100791,0.27
100792,0.18
100797,0.23
100823,0.19
100826,0.28
100830,0.26
100836,0.32
100872,0.31
100910,0.33
100913,0.36
100918,0.33
100931,0.3
100952,0.34
100953,0.39
100965,0.37
100970,0.26
100982,0.33
100983,0.43
100984,0.31
100987,0.31
100997,0.36
100998,0.32
101002,0.3
101005,0.39
101008,0.36
101020,0.3
101021,0.23
101024,0.39
101025,0.33
101026,0.32
101031,0.31
101041,0.29
101051,0.29
101055,0.39
101056,0.33
101057,0.3
101064,0.23
101079,0.36
101087,0.29
101090,0.29
101092,0.45
101097,0.32
101099,0.25
101107,0.3
101118,0.25
101125,0.27
101126,0.29
101128,0.35
101136,0.3
101140,0.34
101149,0.34
101160,0.29
101169,0.38
101181,0.3
101186,0.26
101190,0.31
101193,0.26
101194,0.39
101198,0.29
101200,0.34
101204,0.26
101211,0.24
101213,0.33
101223,0.3
101225,0.27
101237,0.29
101243,0.26
101244,0.41
101258,0.29
101259,0.42
101268,0.36
101269,0.21
101271,0.37
101279,0.26
101281,0.34
101287,0.24
101292,0.22
101294,0.23
101296,0.25
101297,0.38
101299,0.24
101301,0.3
101305,0.31
101308,0.4
101318,0.25
101327,0.39
101329,0.33
101332,0.24
101337,0.3
101343,0.28
101345,0.34
101346,0.25
101353,0.29
101354,0.27
101355,0.36
101356,0.23
101362,0.31
101363,0.37
101365,0.23
101366,0.33
101367,0.32
101368,0.34
101374,0.34
101380,0.3
101383,0.21
101398,0.23
101399,0.39
101401,0.26
101412,0.38
101426,0.28
101427,0.46
101428,0.34
101429,0.4
101434,0.27
101440,0.27
101448,0.3
101449,0.37
101465,0.41
101467,0.19
101472,0.28
101478,0.41
101497,0.39
101504,0.32
101547,0.28
101548,0.42
101555,0.39
101570,0.3
101572,0.29
101578,0.28
101580,0.36
101588,0.3
101602,0.28
101610,0.38
101614,0.31
101616,0.3
101643,0.35
101644,0.26
101649,0.39
101650,0.39
101665,0.24
101667,0.39
101669,0.3
101674,0.28
101675,0.25
101678,0.39
101682,0.31
101686,0.31
101697,0.37
101700,0.47
101711,0.3
101714,0.22
101715,0.4
101728,0.4
101732,0.23
101757,0.31
101758,0.31
101759,0.27
101762,0.4
101764,0.28
101780,0.29
101784,0.28
101789,0.28
101816,0.29
101819,0.35
101827,0.15
101863,0.38
101867,0.25
101870,0.27
101873,0.4
101878,0.36
101879,0.23
101880,0.28
101887,0.31
101897,0.25
101901,0.32
101903,0.48
101920,0.22
101921,0.25
101922,0.38
101961,0.27
101962,0.34
101971,0.27
101976,0.36
102002,0.25
102005,0.28
102007,0.38
102017,0.32
102019,0.4
102029,0.3
102051,0.38
102052,0.22
