SK_ID_CURR,TARGET
100001,0.32
100005,0.36
100013,0.34
100028,0.27
100038,0.32
100042,0.28
100057,0.31
100065,0.32
100066,0.15
100067,0.45
100074,0.31
100090,0.34
100091,0.45
100092,0.39
100106,0.35
100107,0.31
100109,0.31
100117,0.22
100128,0.23
100141,0.39
100150,0.21
100168,0.23
100169,0.28
100170,0.27
100171,0.27
100172,0.34
100184,0.37
100187,0.27
100212,0.3
100222,0.35
100223,0.22
100232,0.21
100241,0.43
100245,0.21
100253,0.29
100256,0.26
100271,0.29
100278,0.33
100280,0.24
100306,0.29
100311,0.37
100312,0.2
100330,0.35
100331,0.21
100352,0.37
100358,0.34
100367,0.18
100382,0.37
100384,0.22
100385,0.35
100386,0.24
100399,0.22
100404,0.29
100416,0.22
100422,0.29
100426,0.36
100438,0.15
100444,0.3
100445,0.25
100446,0.42
100447,0.26
100450,0.28
100466,0.31
100483,0.24
100484,0.18
100494,0.25
100510,0.27
100512,0.25
100517,0.29
100548,0.26
100551,0.3
100552,0.38
100553,0.27
100561,0.34
100568,0.35
100569,0.24
100591,0.33
100592,0.21
100602,0.43
100607,0.24
100613,0.18
100617,0.39
100618,0.31
100622,0.36
100625,0.38
100677,0.3
100699,0.14
100702,0.4
100711,0.32
100729,0.38
100740,0.33
100744,0.44
100745,0.32
100747,0.19
100751,0.37
100752,0.25
100753,0.46
100754,0.37
100760,0.24
100762,0.34
100763,0.29
100765,0.33
100770,0.23
100772,0.31
100777,0.29
100791,0.28
100792,0.21
100797,0.28
100823,0.21
100826,0.23
100830,0.23
100836,0.36
100872,0.29
100910,0.32
100913,0.33
100918,0.29
100931,0.23
100952,0.34
100953,0.22
100965,0.43
100970,0.21
100982,0.4
100983,0.29
100984,0.24
100987,0.28
100997,0.33
100998,0.34
101002,0.29
101005,0.37
101008,0.33
101020,0.32
101021,0.35
101024,0.35
101025,0.29
101026,0.28
101031,0.18
101041,0.18
101051,0.26
101055,0.26
101056,0.43
101057,0.31
101064,0.31
101079,0.36
101087,0.35
101090,0.18
101092,0.33
101097,0.37
101099,0.25
101107,0.33
101118,0.38
101125,0.33
101126,0.34
101128,0.34
101136,0.33
101140,0.38
101149,0.39
101160,0.22
101169,0.4
101181,0.21
101186,0.24
101190,0.39
101193,0.33
101194,0.46
101198,0.28
101200,0.27
101204,0.29
101211,0.29
101213,0.37
101223,0.24
101225,0.32
101237,0.32
101243,0.29
101244,0.36
101258,0.28
101259,0.38
101268,0.31
101269,0.2
101271,0.36
101279,0.2
101281,0.27
101287,0.25
101292,0.18
101294,0.24
101296,0.31
101297,0.23
101299,0.31
101301,0.28
101305,0.36
101308,0.23
